first_name,last_name,date_of_birth,gender,position,department,hire_date,salary,performance_rating,salary_increase,absenteeism_days,overtime_hours,satisfaction_score,feedback_text,will_leave
Emily,Smith,2004-03-23,1,Manager,Finance,2022-03-29,87368.69113483859,7.534822003503954,0.19517041589250694,27,9,3.9066082564712135,Good,1.0
Alex,Johnson,1974-02-18,1,Analyst,HR,2022-08-02,46590.0306898233,1.727856699554779,0.08566289498802156,11,0,2.559648880637612,Good,0.0
Jane,Williams,1985-04-03,1,Developer,IT,2022-02-27,115937.87525968747,7.641072250261916,0.11087081050228015,21,2,3.229578905510417,Poor,0.0
Jane,Doe,1975-01-03,1,Developer,Finance,2021-11-07,58027.19784521648,9.815594757593576,0.03506605397786771,15,15,8.262216793457014,Good,1.0
Jane,Doe,1978-07-12,1,Manager,HR,2021-07-15,34077.360879484004,4.371513531638241,0.12517198314284728,25,0,5.854397035600563,Good,1.0
Emily,Williams,1983-04-12,0,Manager,IT,2022-02-28,87276.32377014101,8.208543652141596,0.13543366847659635,2,0,5.12427601442365,Poor,0.0
John,Williams,1984-09-18,0,Developer,HR,2021-09-10,47621.20213103668,1.624251707876489,0.02015560027548533,1,18,6.564284959041036,Poor,0.0
Jane,Williams,1988-02-24,1,Manager,HR,2021-10-25,103302.16343300421,3.5366929729605996,0.02363296552433125,20,17,6.660485621018956,Good,1.0
Emily,Doe,1975-01-11,0,Developer,HR,2023-05-13,81166.82553749625,6.183321177322761,0.14632955105992804,3,17,3.250148042944942,Poor,1.0
Emily,Doe,1973-08-26,0,Analyst,IT,2023-11-07,97908.85866762142,1.9281148195233935,0.18051058133591336,29,19,8.438117194969674,Average,0.0
Alex,Johnson,1966-11-22,1,Developer,IT,2024-05-28,61941.467141644855,9.611207966138107,0.13535398088486067,19,18,5.437230919946245,Good,0.0
Alex,Williams,1986-12-07,1,Analyst,IT,2020-06-26,115157.50885935212,8.031664454240822,0.022692920403489605,20,9,9.768233876809692,Average,0.0
Jane,Doe,1986-07-22,0,Developer,Finance,2022-10-24,117178.67495767213,7.1922700915753515,0.16739277484747478,16,5,1.756961255034977,Good,1.0
Jane,Doe,1976-01-01,0,Manager,HR,2020-05-24,76199.35518231537,3.09905265182075,0.11626108344535646,12,0,8.923239717745751,Good,0.0
Alex,Doe,2002-12-31,1,Manager,Finance,2019-08-28,99943.22243346932,6.025638247622245,0.08484440184939526,25,18,2.000777340755362,Poor,0.0
John,Smith,1980-10-16,1,Manager,IT,2022-03-01,88428.92719044571,7.71440391338881,0.11667375301943193,29,16,1.746021895240188,Good,1.0
John,Smith,2000-11-10,1,Developer,IT,2022-05-20,110202.8802328264,5.749309981776698,0.19859295922386008,4,3,5.984688559611887,Good,1.0
Alex,Doe,1997-05-19,1,Analyst,Finance,2020-05-28,86480.22720756571,6.258828807307902,0.1802316020981978,24,10,3.528668706330073,Average,1.0
Emily,Williams,1994-05-23,1,Manager,HR,2020-01-14,61801.70052234475,6.252905006657849,0.015546927392996969,8,3,9.875896700316426,Average,0.0
John,Doe,1970-06-10,0,Developer,IT,2022-02-15,111983.44660444582,8.402835186308522,0.18995998265838482,4,14,9.272588966520036,Average,1.0
Jane,Smith,1986-04-25,0,Developer,Finance,2021-10-31,63881.70301902446,8.294979977036496,0.19745522586298891,16,10,6.347176438169216,Poor,0.0
Jane,Johnson,1987-08-18,0,Developer,IT,2020-02-21,33313.96808723923,2.204669069205699,0.002734392965399457,22,5,7.225429574520208,Good,0.0
John,Smith,1965-04-07,0,Analyst,IT,2020-04-06,115028.91568941851,8.646826516096702,0.04946962034863953,13,8,2.162434736363455,Poor,0.0
John,Williams,1991-05-22,0,Developer,HR,2020-11-09,54180.523382277664,1.1996626782727147,0.0996330373291786,21,2,5.68147151000794,Good,1.0
Emily,Doe,1975-11-18,1,Analyst,IT,2023-07-08,42061.37056055767,1.2590440868200508,0.15102745113472382,20,13,7.336717912893012,Poor,0.0
Jane,Williams,1970-11-22,1,Manager,HR,2024-05-06,87297.98894600544,5.993340476880031,0.018200418210266057,1,19,5.927016762092004,Good,1.0
Alex,Williams,1993-12-05,0,Manager,Finance,2024-05-23,115456.85612918778,2.323661328361341,0.1853175250322989,9,16,3.324199494690625,Good,1.0
Jane,Doe,1991-05-18,0,Manager,Finance,2024-06-30,51613.10569003738,1.6827699529779752,0.025775944382129847,22,15,2.3671242416106493,Average,1.0
Emily,Williams,1971-12-31,1,Developer,Finance,2021-04-11,76371.24493777897,9.757993143430939,0.12038707910819205,18,18,8.396115731600043,Average,1.0
Jane,Doe,1988-05-05,0,Manager,IT,2022-11-06,71470.08912294533,2.8570034656521326,0.07285397220961509,13,12,3.894244882120261,Average,0.0
Alex,Doe,1978-01-02,0,Manager,Finance,2022-05-04,63955.73687178653,1.023355219452819,0.17366022140711737,7,16,6.375502740298875,Poor,0.0
Alex,Williams,1970-12-30,1,Manager,Finance,2024-05-26,71628.12445198331,7.727238443203809,0.00733664057811958,23,18,7.420146272960972,Poor,0.0
Jane,Johnson,1990-07-21,1,Developer,HR,2020-06-04,61873.20037138129,4.574474492536742,0.020973833306496183,22,4,2.6405549062836227,Poor,0.0
John,Johnson,1989-07-27,1,Manager,IT,2024-03-20,60863.41778504342,5.265729472875005,0.07102086065586095,8,12,5.316238915788252,Poor,1.0
Jane,Johnson,1984-11-16,1,Developer,Finance,2020-04-17,55539.83152188521,4.267740667587716,0.12918344826632025,1,12,3.973136331528226,Good,0.0
John,Smith,1977-10-31,1,Manager,Finance,2022-11-27,44461.32359336001,2.679103216461752,0.057019033738769424,23,8,1.7221037109547799,Poor,0.0
Emily,Doe,1977-02-02,1,Analyst,HR,2020-12-05,81839.85760250941,9.256560517769785,0.0010600012795210834,21,16,5.41673901332906,Average,0.0
Jane,Doe,1994-11-18,0,Analyst,HR,2020-08-14,105472.43028323623,2.845698041345132,0.19359881330084686,3,18,2.795562346044878,Good,1.0
Alex,Doe,1989-07-23,1,Manager,IT,2024-03-26,113881.29080312407,3.8857797294356287,0.11877661951157976,5,17,5.088411749971897,Good,0.0
Jane,Williams,1987-05-07,0,Manager,IT,2020-12-08,91335.24500015363,7.842050739007179,0.11912774812156886,23,5,4.706568227325417,Average,0.0
John,Doe,1966-07-04,1,Manager,HR,2023-08-02,119183.65288116515,2.845016290479135,0.07584571699276009,0,7,7.494368956761495,Good,1.0
Alex,Doe,1980-10-07,1,Manager,Finance,2022-08-18,46776.44881093297,3.1212257145849978,0.12675171274403546,29,3,3.8457692406684516,Average,0.0
Jane,Williams,1979-02-04,0,Manager,Finance,2020-01-25,57124.00867477279,7.72848442158626,0.10054407801849584,24,16,9.096171159471115,Poor,1.0
Jane,Doe,1996-07-12,1,Analyst,Finance,2024-01-27,114584.89112521276,6.6493724776427605,0.06698112293141723,19,14,8.907662038360943,Good,1.0
Jane,Johnson,2004-02-06,1,Developer,HR,2020-08-08,58054.98610159934,3.236402258330192,0.1487892585145354,29,3,6.129007163841849,Average,0.0
Alex,Smith,1976-03-22,1,Manager,IT,2021-05-17,64093.94090012241,5.113001973535105,0.1207915744145025,14,7,2.349256846138964,Poor,1.0
Emily,Doe,1995-01-21,0,Analyst,Finance,2022-07-19,80895.75125906765,7.44561167259657,0.1198058729554653,19,10,9.63167315107625,Average,1.0
Emily,Johnson,2004-05-24,1,Manager,Finance,2023-07-13,112066.71679586683,2.252045747287557,0.0201589206031773,0,14,7.534860274561607,Poor,1.0
Emily,Williams,1969-04-17,0,Developer,Finance,2021-07-09,99412.20016677643,4.3699183274837985,0.013784307873443757,18,13,9.409303132921133,Average,0.0
Alex,Doe,1976-05-12,0,Developer,HR,2020-02-09,46768.879154470866,8.53741710102243,0.06642928253098779,21,18,6.321478921704363,Good,0.0
John,Doe,1983-08-24,1,Developer,IT,2019-12-27,60014.92545220298,4.58351824231849,0.10747912058758458,10,5,4.1171139492936515,Average,0.0
Jane,Johnson,1996-10-07,1,Analyst,Finance,2022-03-20,112147.4516591216,3.2340379848143668,0.11552639081830945,19,5,1.3049124422193548,Good,0.0
John,Johnson,1970-03-28,1,Manager,HR,2020-07-11,76365.63141661313,9.779871841144807,0.09179779760340262,19,7,5.519755092981184,Good,1.0
John,Smith,1978-01-01,0,Analyst,Finance,2020-12-09,48462.567643380644,2.716189485972999,0.007309933569618976,29,15,6.083570199363548,Average,0.0
Jane,Johnson,1975-10-29,1,Manager,IT,2024-04-20,74731.07539391241,7.888206529596166,0.020596295866263103,7,6,7.779215986727058,Average,1.0
Alex,Smith,1989-05-12,1,Developer,Finance,2024-06-18,44053.733762957134,7.443750059626578,0.13178478838203028,0,2,3.0796731692926427,Poor,0.0
John,Williams,1986-11-08,0,Analyst,IT,2023-01-11,109871.44342621526,6.010494263050295,0.14416261926210133,2,13,6.428776619592816,Average,0.0
Emily,Williams,1991-03-29,0,Manager,IT,2022-02-14,56383.29572349119,9.067022366690077,0.0026003847021472074,6,0,2.870976296314246,Poor,1.0
John,Johnson,1968-09-05,0,Manager,HR,2022-05-20,86228.5143938926,4.022792714348515,0.16502146628453196,2,11,8.475890559087247,Good,1.0
Emily,Smith,1970-07-04,1,Developer,Finance,2020-06-10,117709.2538678983,8.017828973092277,0.022847585184079366,29,13,5.239589074244329,Good,1.0
Alex,Doe,1999-07-31,0,Manager,IT,2021-01-15,53209.89168898821,2.254204666655417,0.16698604735985983,3,12,7.220996718486889,Good,0.0
Jane,Smith,1978-03-29,0,Manager,IT,2022-01-21,36045.785992413905,4.6472327922491985,0.09949297879597813,11,9,2.260166847944041,Poor,0.0
Alex,Smith,1970-12-25,1,Manager,IT,2022-05-14,45783.41507611046,9.229707513324637,0.08375410497841462,27,13,1.4226937009754954,Average,0.0
John,Johnson,1993-07-07,1,Analyst,HR,2024-07-14,65036.60526377789,3.598243630936299,0.07113454329298984,16,6,6.493642003071618,Average,1.0
Alex,Johnson,1999-03-15,1,Manager,IT,2020-12-15,49344.63407316811,1.2806482155515622,0.05245280885996502,2,19,1.462832321358253,Average,0.0
John,Johnson,2005-04-22,0,Manager,HR,2020-06-09,60994.53588398099,4.163861450207969,0.08255871012135046,28,10,6.384574524413392,Good,0.0
Alex,Johnson,1974-06-04,0,Analyst,HR,2024-05-02,83120.76001821784,4.248765072460241,0.01831641466532683,26,16,2.2313676782706526,Average,0.0
Alex,Doe,1984-10-08,1,Manager,Finance,2019-09-08,87505.44468008357,7.831322609849648,0.14482066585462772,15,5,9.825191201619894,Average,0.0
Emily,Johnson,1974-03-23,1,Developer,IT,2020-05-03,33548.41302316553,7.350176552641196,0.18504966348313318,22,6,1.3055138072721895,Good,0.0
John,Johnson,1965-06-29,1,Manager,Finance,2022-08-16,101580.76541631877,7.7055809330819836,0.010976522929294985,2,17,5.701911184640521,Poor,0.0
Jane,Johnson,1997-10-19,0,Developer,HR,2024-04-03,92665.98982903258,4.058874673912595,0.1449533543057523,11,6,3.837613040475493,Good,1.0
John,Smith,2004-02-08,0,Manager,IT,2024-07-27,68413.53509893779,8.889988400762046,0.08350121680557843,2,9,9.913071820075993,Poor,0.0
John,Doe,1969-06-06,1,Analyst,Finance,2021-09-14,30853.689026564825,1.4741545237950573,0.01770868212272363,29,11,6.64754916896533,Poor,0.0
Jane,Smith,2004-02-08,0,Analyst,IT,2023-01-13,51489.94311914721,1.994267018182552,0.07092443152815531,29,17,3.6667730841039106,Average,0.0
John,Williams,1982-04-08,0,Manager,Finance,2023-01-05,39852.083881120365,4.524671264863205,0.02488751145937127,26,4,8.07710512973997,Poor,1.0
Jane,Johnson,1980-03-10,0,Manager,Finance,2021-08-22,85207.02502896369,2.503305514828677,0.19823372522739532,26,7,9.48458596721613,Poor,1.0
John,Johnson,1996-11-12,1,Manager,Finance,2023-12-30,64568.15503421246,1.3305874368395227,0.19145405259666515,23,5,8.206927184168876,Average,0.0
Alex,Doe,1968-10-02,0,Manager,IT,2020-03-29,53421.00311563746,5.637231318832533,0.09823726817372531,16,2,8.34249812491556,Average,0.0
Emily,Doe,1978-08-21,0,Developer,HR,2020-10-31,38233.81536579794,8.897147763673424,0.053120008517741214,27,8,1.399389971799131,Average,1.0
Jane,Doe,1968-11-29,1,Developer,IT,2020-09-23,37828.80839202691,4.676078917636288,0.0745377034024628,7,4,1.4390522350585577,Average,1.0
John,Williams,1979-07-06,0,Developer,IT,2022-12-28,35536.53236153116,8.946156422237152,0.10321580408872333,18,2,4.1302828711197375,Average,1.0
Alex,Doe,1968-02-17,0,Manager,Finance,2023-09-11,89260.6651192583,8.655235561848176,0.17345884019196048,8,12,8.533119955273047,Good,0.0
Jane,Williams,1994-11-21,0,Manager,Finance,2024-04-01,109278.36832790356,8.846591749707088,0.005849456606911829,22,9,2.1598288072610066,Poor,0.0
Jane,Johnson,1995-09-05,1,Manager,HR,2023-01-01,75672.09603847525,1.0574728454515023,0.057407626634982556,13,16,6.038598810779465,Poor,1.0
Emily,Williams,1965-01-12,0,Analyst,HR,2023-05-03,98492.51122518252,5.871399208084992,0.19259840077179893,27,14,9.388252949590157,Good,1.0
Emily,Williams,2001-06-16,1,Manager,Finance,2024-02-02,93735.48797807534,1.6061554132189453,0.11643409203525466,0,17,8.843831255371386,Poor,0.0
Emily,Williams,1982-02-09,0,Developer,Finance,2024-07-14,31991.119637609754,3.912491972345871,0.09772863808093316,18,10,7.149658389458547,Average,1.0
Jane,Smith,1997-06-08,1,Developer,Finance,2023-07-12,106878.87970154094,5.743216865906759,0.16518415315997934,10,19,8.559524482052247,Poor,1.0
Emily,Smith,1974-07-13,0,Analyst,IT,2020-10-06,43595.21026028102,4.891013209383417,0.1887231840335198,15,4,6.74673352897677,Average,0.0
John,Doe,1969-02-13,0,Developer,HR,2022-01-21,50695.914530197755,2.9179423362257495,0.006226816576902272,24,11,6.064752577090443,Poor,1.0
Emily,Smith,2003-12-06,0,Developer,IT,2023-03-11,99382.96601796467,8.60304905305199,0.15220479818859978,2,11,1.2927356154212672,Average,0.0
Emily,Smith,2005-03-08,0,Manager,HR,2023-05-15,41266.72129822954,7.170087585060743,0.08606117897989254,5,15,5.424350920672932,Poor,1.0
Jane,Doe,2006-04-22,1,Analyst,IT,2022-08-22,31045.848591729056,1.65202199015103,0.07849871128133697,13,14,6.400184933073733,Poor,0.0
John,Doe,2001-01-11,1,Developer,Finance,2024-01-11,97424.54751911548,2.3132986663163093,0.02055848089853314,13,14,5.489993381062204,Average,1.0
Emily,Doe,1982-03-30,1,Manager,IT,2024-08-10,78081.79853788007,8.942801372376401,0.016501706888084257,12,19,4.2202121583544425,Poor,1.0
Jane,Johnson,2006-05-19,1,Manager,HR,2024-03-22,48013.52198203291,2.507343240331628,0.02091356806688005,10,2,9.065991724165345,Good,1.0
John,Johnson,1977-12-24,1,Developer,HR,2022-08-27,108387.2211371477,7.4267823891918505,0.16034561661395838,29,14,8.33342602371861,Poor,0.0
Emily,Williams,2004-02-29,1,Manager,HR,2023-06-29,73281.34483040863,1.3667869548322549,0.03279989619789945,13,10,7.523439038866525,Poor,1.0
John,Doe,1969-05-10,0,Manager,Finance,2020-04-04,72316.43334269986,7.698511590354601,0.17436655579462423,20,18,2.455052897321224,Average,1.0
Alex,Smith,1993-11-28,1,Developer,Finance,2020-01-19,37337.3840597184,4.629352250114486,0.044112224984464654,21,14,3.3191459966009234,Good,1.0
John,Johnson,1978-10-13,0,Developer,HR,2023-02-27,75436.03937037161,5.889704710269595,0.102799173561745,8,3,1.2645500118085655,Average,1.0
Emily,Smith,1977-09-03,1,Manager,Finance,2022-07-19,83311.5295734026,9.211270110550219,0.04213243780113332,12,17,6.684041980832685,Poor,0.0
Alex,Smith,1996-10-16,1,Manager,Finance,2020-12-29,51378.89924314899,9.742555846374756,0.03619539054189796,4,5,5.430500708032313,Average,1.0
Emily,Doe,2002-02-12,1,Analyst,IT,2021-07-31,83365.57662914347,2.4717148532652047,0.07821630733035215,24,1,8.72187628530435,Good,0.0
John,Williams,1994-02-25,1,Developer,Finance,2020-12-24,51120.6634435396,8.953387026946773,0.08840487475657151,15,9,5.038998164482628,Average,0.0
John,Doe,1990-06-26,0,Developer,IT,2023-01-14,62332.567312462095,4.414227309301814,0.12110763152897658,14,4,5.80160732769726,Good,0.0
Emily,Williams,1967-12-04,1,Analyst,Finance,2022-12-01,78591.52555519913,1.3076898934524235,0.19733859607143234,8,4,9.429451230654653,Good,0.0
Alex,Johnson,1994-11-14,0,Developer,Finance,2022-04-28,39297.80614116141,6.262036303983298,0.1376415731733191,19,17,9.68606826792441,Poor,1.0
Jane,Doe,1986-03-01,0,Developer,Finance,2021-03-14,52880.21219077439,5.695570419725918,0.06853069762418307,5,19,2.1316736062598394,Average,0.0
Emily,Williams,2001-03-26,1,Analyst,HR,2020-11-16,38451.06442104765,7.053419064026136,0.08875004386091423,4,14,2.594348105026473,Average,0.0
Alex,Johnson,1977-06-03,1,Manager,HR,2021-05-31,104778.94722075349,8.78147952359533,0.15370387290475826,26,7,8.159593345267629,Good,0.0
Alex,Johnson,1967-07-05,1,Developer,IT,2023-08-17,39593.372727719165,6.920607741427324,0.19988274515413332,5,8,8.797948007748808,Good,1.0
John,Doe,1996-02-22,0,Analyst,IT,2021-12-15,109066.4005171213,4.637262894859297,0.06540663231264775,5,18,8.270613477471327,Average,0.0
John,Johnson,1981-11-13,0,Analyst,IT,2020-11-13,56718.23471042527,6.841671929149538,0.06567624557701622,0,11,6.4884862494882505,Poor,0.0
Alex,Williams,1965-09-20,0,Developer,IT,2022-08-07,63592.66124664061,3.045426645368363,0.014639184753688729,2,7,7.013915186995146,Average,1.0
Jane,Doe,1981-05-21,0,Manager,HR,2023-05-16,112281.2864356323,8.323896594876278,0.02178366836934629,4,1,5.739614175420636,Poor,1.0
Emily,Johnson,1984-01-30,1,Analyst,HR,2023-04-02,94394.18163893471,5.691107192368009,0.16447868376341163,10,15,6.827272427391427,Poor,0.0
Emily,Johnson,1995-04-10,0,Developer,IT,2023-04-30,47510.24908667708,2.4969844696882793,0.12347035148259485,20,19,7.030864311498475,Good,0.0
Emily,Johnson,1968-05-28,1,Manager,HR,2020-01-04,65991.46861237407,9.79052714796321,0.16463480311913206,29,10,2.1090038875494943,Average,0.0
John,Johnson,1996-08-14,0,Developer,HR,2023-05-25,53090.65053312274,9.666341877138219,0.09670912934398496,6,0,4.361587147345489,Good,1.0
Alex,Johnson,1989-06-02,0,Manager,HR,2021-01-19,109578.5817013567,3.0527179475403923,0.04240896798164533,9,9,9.1002081105821,Good,1.0
Alex,Doe,1991-01-08,1,Analyst,Finance,2021-04-04,102857.69781915976,7.899905216803654,0.029940793591391547,22,17,2.3768542074570638,Good,0.0
Emily,Smith,1971-02-21,0,Developer,IT,2022-10-20,32127.472744170274,6.777743503989394,0.12141880721775616,10,9,3.311954628811433,Good,0.0
John,Smith,1992-11-21,1,Analyst,Finance,2020-03-05,90825.71205786383,4.984452701015744,0.0891581829154458,8,16,1.142389825890242,Average,0.0
Emily,Smith,2003-07-18,1,Analyst,IT,2021-11-10,53840.59025130601,6.807608537731452,0.11915014563779135,8,7,4.3026047128432054,Average,0.0
Alex,Williams,2001-09-07,0,Manager,IT,2023-06-11,51034.08737193897,5.860107231440596,0.17601581751229167,17,2,5.796620078962018,Good,1.0
Alex,Smith,1992-04-02,0,Manager,HR,2021-03-28,119593.24416338313,5.01717116077878,0.06671390989444008,21,11,1.7989065469699161,Good,0.0
John,Johnson,1997-05-21,0,Analyst,HR,2023-05-24,68042.02020565706,8.396257995109782,0.0002473359518818885,15,11,9.831127369098734,Poor,1.0
Jane,Doe,1986-03-28,1,Analyst,HR,2020-05-24,96346.22025065188,7.917398243096576,0.04873134321277333,29,19,6.612271192024838,Average,1.0
Alex,Williams,1992-03-02,0,Manager,HR,2023-03-22,33254.43424722859,3.7281552035079573,0.05262251398216858,1,8,1.7887847208745469,Poor,0.0
John,Doe,1990-04-20,0,Manager,Finance,2019-12-27,84053.49000245555,5.6411148492684795,0.18387839464288347,10,14,9.929422133409814,Good,1.0
Jane,Williams,2005-02-02,1,Manager,HR,2020-08-20,64256.096412892206,8.901768884005627,0.1736113380214901,5,2,8.110273926763552,Average,0.0
Alex,Doe,1985-02-25,1,Analyst,HR,2022-01-24,61148.97538840069,9.780491807739233,0.1281944154690664,24,1,2.192722054676636,Average,0.0
Emily,Johnson,1990-06-20,0,Manager,HR,2023-12-18,45735.47645343713,5.523094688170982,0.07973260555446263,24,12,4.307809800623783,Good,1.0
Emily,Doe,1968-08-04,0,Developer,Finance,2022-04-19,108849.46733382384,3.49977361374335,0.17028972751025306,28,10,6.576291594080466,Poor,0.0
Alex,Johnson,1968-10-06,0,Manager,HR,2023-09-02,35234.74159549282,9.953796854527905,0.011556112199273327,23,14,9.853110327370722,Poor,0.0
Alex,Doe,1991-09-16,1,Manager,HR,2022-03-13,45998.97490661234,7.224562500123874,0.1236103348574372,3,6,3.0600514436195225,Good,0.0
Emily,Williams,1997-08-11,1,Manager,Finance,2019-12-03,41763.93390661795,8.9794379371642,0.0899569297642645,28,2,4.309834157895606,Average,1.0
Alex,Doe,1989-10-24,1,Developer,HR,2021-04-23,67453.85983617854,5.332097364717913,0.0038384553646113374,14,9,7.128773445144201,Poor,0.0
John,Doe,1989-03-22,1,Manager,IT,2021-03-24,47897.06499977663,1.5815501185967753,0.008526641857406548,16,2,3.392660229888821,Poor,0.0
John,Williams,1990-07-04,0,Developer,HR,2023-03-21,43504.379822458584,3.9220833420105397,0.14747141547755993,7,2,4.382994566311924,Good,1.0
Jane,Doe,1965-11-10,0,Developer,IT,2024-02-02,100821.30476297656,3.8386620617321148,0.13762694121730842,27,15,3.2920355984144605,Average,1.0
Jane,Williams,1984-05-20,1,Developer,Finance,2022-07-15,89341.85299852045,9.056059666358827,0.12733393643344146,14,16,1.5998683650462096,Good,0.0
John,Williams,1987-03-26,0,Analyst,IT,2021-10-15,33750.56105421459,1.7631281444122289,0.14326467761253645,12,18,1.6413105498873275,Good,0.0
Emily,Doe,1972-05-07,1,Analyst,HR,2021-03-09,61473.29067712646,7.971881780630636,0.13227412221408288,27,18,2.5669840180067593,Good,0.0
Jane,Smith,1974-10-28,1,Manager,HR,2020-02-08,37395.45007287846,9.710740313605275,0.059088955495484055,7,8,4.437456756876063,Average,0.0
John,Williams,1987-07-08,1,Developer,IT,2024-01-08,77727.19199242425,1.3775610108847265,0.19369775551887677,20,3,3.6353983303086825,Average,1.0
John,Doe,1989-05-14,0,Manager,Finance,2023-03-09,60444.075539504855,9.352752762934447,0.044923122368770385,24,7,4.888691946497763,Average,0.0
Jane,Smith,1973-01-06,1,Developer,Finance,2022-09-26,31144.340098820416,9.931738604405231,0.13429098697892866,29,6,8.618629048212503,Good,0.0
Jane,Doe,1974-09-13,1,Developer,HR,2023-10-15,95564.16094454519,7.9880270184975215,0.1312323675362143,10,10,3.4239816847182256,Good,0.0
Jane,Smith,1965-11-23,0,Analyst,Finance,2020-04-09,49216.02296796047,5.552674236566461,0.16814060560224,12,10,7.823665099688836,Good,1.0
Alex,Johnson,2002-02-05,0,Analyst,IT,2021-09-23,108599.06242747269,6.726622185813232,0.1522243074086316,14,7,5.154017269778109,Good,1.0
John,Johnson,2005-05-25,1,Analyst,HR,2020-06-19,57983.60370067987,7.681132455152583,0.16302367689607358,26,1,4.198461118171655,Good,0.0
